component_id,bank_deposit_id,payment_unit_id,kind,amount,deposit_amount,deposit_component_total,reconciliation_flag,source,source_staged_payment_id,staged_payer,staged_date,qb_deposit_id,ambiguous_deposit_match
"bdc_zi6j_jjO2swt8Ot33qiDp","bdep_b098f08c0bd354bde86a5c44","pu_zi6j_jjO2swt8Ot33qiDp","check","100000.00","100000","100000","ok","qbo_inferred","zi6j_jjO2swt8Ot33qiDp","Center for Education Reform dba Yass Foundation for Education","2023-11-28","26863","false"
"bdc_VAmxudI59WVT6SCeWgqcf","bdep_be552e24c05354ca51b49e47","pu_VAmxudI59WVT6SCeWgqcf","check","540.00","540","540","ok","qbo_inferred","VAmxudI59WVT6SCeWgqcf","National Black Child Development Institute","2024-01-10","27585","false"
"bdc_uKJKtItKRZ98E7bjZSFKe","bdep_d3f30ebb6f62064b1d955c2d","pu_uKJKtItKRZ98E7bjZSFKe","other","1001061.44","1001061.44","1001061.44","ok","qbo_inferred","uKJKtItKRZ98E7bjZSFKe","Arthur Rock Foundation","2017-05-26","990","false"
"bdc_ab6MGs1PAjUlcgAvwtcws","bdep_c35eccda51623b7f1659d2bf","pu_ab6MGs1PAjUlcgAvwtcws","other","5000.00","5000","5000","ok","qbo_inferred","ab6MGs1PAjUlcgAvwtcws","Saint Paul Foundation","2017-10-24","1870","false"
"bdc_obZdI7xecWrODbiqkc2TA","bdep_6452be9f0e6293cb6a0aa38f","pu_obZdI7xecWrODbiqkc2TA","other","700000.00","700000","700000","ok","qbo_inferred","obZdI7xecWrODbiqkc2TA","Walton Family Foundation","2017-11-03","2107","false"
"bdc_G2qaJhrpocRChJ4skrYuf","bdep_5c026f33e0778d4859f3466f","pu_G2qaJhrpocRChJ4skrYuf","other","1000.00","1000","1000","ok","qbo_inferred","G2qaJhrpocRChJ4skrYuf","matthew.kramer@wildflowerschools.org","2017-09-01","1332","false"
"bdc_pNAH9MtNYy65T5opC3vsd","bdep_73554212dd4caa3d0cc991d1","pu_pNAH9MtNYy65T5opC3vsd","other","10200.00","10200","10200","ok","qbo_inferred","pNAH9MtNYy65T5opC3vsd","Educause","2018-04-20","3086","false"
"bdc_JqO1pyeUqjy8CpmhuA31G","bdep_dd2c90b75874f476be24b411","pu_JqO1pyeUqjy8CpmhuA31G","other","2500000.00","2500000","2500000","ok","qbo_inferred","JqO1pyeUqjy8CpmhuA31G","Walton Family Foundation","2018-06-22","3688","false"
"bdc_LXYf5O20Jv2WBOcvY_pYV","bdep_8b72d7a350b9ddefc15f8918","pu_LXYf5O20Jv2WBOcvY_pYV","other","285410.88","285410.88","285410.88","ok","qbo_inferred","LXYf5O20Jv2WBOcvY_pYV","Arthur Rock Foundation","2018-05-22","3421","false"
"bdc_keC3v6wusKFai7PrvzlJn","bdep_efbdc3e07c157ddf437808c4","pu_keC3v6wusKFai7PrvzlJn","other","288972.01","288972.01","288972.01","ok","qbo_inferred","keC3v6wusKFai7PrvzlJn","Arthur Rock Foundation","2018-05-23","3431","false"
"bdc_fFl18qW3ELjR_Fuorog0-","bdep_6f7ed6d4ea3cbd566de8bde0","pu_fFl18qW3ELjR_Fuorog0-","other","97.10","97.1","97.1","ok","qbo_inferred","fFl18qW3ELjR_Fuorog0-","","2022-10-27","21971","false"
"bdc_6H7mfNQXLJNB2zuBpewNd","bdep_cfba730d244b314ecbab33da","pu_6H7mfNQXLJNB2zuBpewNd","other","30.34","30.34","30.34","ok","qbo_inferred","6H7mfNQXLJNB2zuBpewNd","AMY HERTEL","2023-01-27","23145","false"
"bdc_8JFbFIjJxjk1Klg0ulOSF","bdep_8016279a3a49aab4b13ebd26","pu_8JFbFIjJxjk1Klg0ulOSF","other","500000.00","500000","500000","ok","qbo_inferred","8JFbFIjJxjk1Klg0ulOSF","USBank","2023-06-02","25230","false"
"bdc_8-iX2oQ5Ge7blnK7frGAw","bdep_efda6a340f46488d347e334c","pu_8-iX2oQ5Ge7blnK7frGAw","other","400.00","400","400","ok","qbo_inferred","8-iX2oQ5Ge7blnK7frGAw","","2023-06-07","25713","false"
"bdc_DnHNYfgt7HwacKUcEBB38","bdep_450b8b1b50d6b204e2b5ec92","pu_DnHNYfgt7HwacKUcEBB38","other","500000.00","500000","500000","ok","qbo_inferred","DnHNYfgt7HwacKUcEBB38","Stand Together Trust","2024-06-10","29029","false"
"bdc_tAvndts0xZaDZETaG2ZAK","bdep_f2620f971283dd8474e2da25","pu_tAvndts0xZaDZETaG2ZAK","other","300000.00","300000","300000","ok","qbo_inferred","tAvndts0xZaDZETaG2ZAK","Imaginable Futures","2024-06-18","29030","false"
"bdc_d5A4_QbGYCJ7xCcp1VZ1b","bdep_5ae36271519ead53f670281b","pu_d5A4_QbGYCJ7xCcp1VZ1b","other","350000.00","350000","350000","ok","qbo_inferred","d5A4_QbGYCJ7xCcp1VZ1b","Anonymous","2024-04-18","28315","false"
"bdc_M37WisaFqQeTrU_MEKQkv","bdep_91ef03b96d853a32a56cb9cd","pu_M37WisaFqQeTrU_MEKQkv","other","100000.00","100000","100000","ok","qbo_inferred","M37WisaFqQeTrU_MEKQkv","Indira Foundation / Avi and Sandra Nash","2024-08-07","29764","false"
"bdc_wDU1AyVvrFcsEkBXohrHs","bdep_6a4df53a42deeb856428bd0c","pu_wDU1AyVvrFcsEkBXohrHs","other","4237.50","4237.5","4237.5","ok","qbo_inferred","wDU1AyVvrFcsEkBXohrHs","Local Initiatives Support Corporation (LISC)","2024-07-26","29731","false"
"bdc_Pr23YoDn3D4iCNZHj1W1B","bdep_feb9f5ed7ef0a43be5ece56e","pu_Pr23YoDn3D4iCNZHj1W1B","other","5000.00","5000","5000","ok","qbo_inferred","Pr23YoDn3D4iCNZHj1W1B","Robert Kinsman","2024-10-31","30920","false"
"bdc_1DDAK0LsdOkqxYwtGiMCg","bdep_43e3b0298368d293ad7b778f","pu_1DDAK0LsdOkqxYwtGiMCg","other","10000.00","10000","10000","ok","qbo_inferred","1DDAK0LsdOkqxYwtGiMCg","The 20 22 ACT Society","2024-12-30","31651","false"
"bdc_osN1yh1ZCrPjaY58a1mfn","bdep_9408ea13fc7fd77935054007","pu_osN1yh1ZCrPjaY58a1mfn","other","10000.00","10000","10000","ok","qbo_inferred","osN1yh1ZCrPjaY58a1mfn","Abinabi Barrientos","2024-12-27","31672","false"
"bdc_Xgj0nFk7GlQN5Ja7mji6I","bdep_c4488f6069988d32e3c2c480","pu_Xgj0nFk7GlQN5Ja7mji6I","other","5000.00","5000","5000","ok","qbo_inferred","Xgj0nFk7GlQN5Ja7mji6I","Krishnan Sampath","2024-12-23","31640","false"
"bdc_JuIhgeJ1Vbrkscmmk_SNy","bdep_37ba5a13f28d5f191cf26ee5","pu_JuIhgeJ1Vbrkscmmk_SNy","other","5000.00","5000","5000","ok","qbo_inferred","JuIhgeJ1Vbrkscmmk_SNy","Kinsman & Krause","2024-11-07","30924","false"
"bdc_GuLnE-8z-r9gws7xfFo0b","bdep_afdc11473600248d819e8d0e","pu_GuLnE-8z-r9gws7xfFo0b","other","2000.00","2000","2000","ok","qbo_inferred","GuLnE-8z-r9gws7xfFo0b","Lindsay and Matt Haldeman","2025-01-03","32126","false"
"bdc_eQzcRt2t2x6rVWtbQzuYK","bdep_0631a3734a9d945fd32bb2d7","pu_eQzcRt2t2x6rVWtbQzuYK","other","850.00","850","850","ok","qbo_inferred","eQzcRt2t2x6rVWtbQzuYK","Promise Venture Studios","2025-07-29","35436","false"
"bdc_HwkYzUzoTOi6nguIJFA3C","bdep_06f392376a3916ee2cd3a17a","pu_HwkYzUzoTOi6nguIJFA3C","other","500.00","500","500","ok","qbo_inferred","HwkYzUzoTOi6nguIJFA3C","Lars and Becky Klevan","2025-11-18","36573","false"
"bdc_0KLPFhPVfNUBzEPTeFX8G","bdep_201ee6a1c195b1a8df48e7de","pu_0KLPFhPVfNUBzEPTeFX8G","other","2000.00","2000","2000","ok","qbo_inferred","0KLPFhPVfNUBzEPTeFX8G","Sampath Krishnan","2025-12-18","37043","false"
"bdc_WkhS6YAYglDGWePEgKEFo","bdep_8b92cc891bf135aaa0bfc090","pu_WkhS6YAYglDGWePEgKEFo","wire","60000.00","60000","60000","ok","qbo_inferred","WkhS6YAYglDGWePEgKEFo","Jpmorgan Chase","2025-08-05","35623","false"
"bdc_zfJQTDeeVNS9kRYVrXUpI","bdep_fa8061370ee8418ed58e4ef1","pu_zfJQTDeeVNS9kRYVrXUpI","other","10000.00","10000","10000","ok","qbo_inferred","zfJQTDeeVNS9kRYVrXUpI","JP Morgan Charitable Giving Fund","2025-11-26","36567","false"
"bdc_5L1YqDSwMIyqx1pnx_0Hl","bdep_6de491045c62af808980b7b4","pu_5L1YqDSwMIyqx1pnx_0Hl","direct_ach","40000.00","120000","120000","ok","qbo_inferred","5L1YqDSwMIyqx1pnx_0Hl","The Howley Foundation","2025-07-25","35303","false"
