stripe_payout_id,bank_deposit_id,amount,currency,arrival_date,deposit_date,ambiguous_bank_match,payer_name
"po_1I5i1cAhXr9x8yiR69t8ZwmN","bdep_0715f2450cf4bde928c0809b","479.2","USD","2021-01-04","2021-01-05","true",""
"po_1I64YuAhXr9x8yiRQ89ltowM","bdep_97332f28f6faf359999f8c10","24.82","USD","2021-01-05","2021-01-06","false",""
"po_1I8FS2AhXr9x8yiRyBDfBJIB","bdep_7871da90df169cbce5ce9a5d","23.67","USD","2021-01-11","2021-01-12","false",""
"po_1IGxPLAhXr9x8yiR8hj5Hz4Q","bdep_1585438062b7fc3698591384","496.38","USD","2021-02-04","2021-02-05","false",""
"po_1II2TRAhXr9x8yiRxod8PXKY","bdep_8283e73764c5a6e75cec5317","2.57","USD","2021-02-07","2021-02-08","false",""
"po_1IIlwyAhXr9x8yiR5iMVuWzE","bdep_c406ba18a86e4ea4c733fded","23.67","USD","2021-02-09","2021-02-10","false",""
"po_1INpLLAhXr9x8yiRE93HXFuy","bdep_2f5a1080921a861a9f735c70","1500","USD","2021-02-23","2021-02-24","false",""
"po_1ISvJ9AhXr9x8yiRIhDQYLg2","bdep_14323790bff961933245587b","23.67","USD","2021-03-09","2021-03-10","false",""
"po_1ITe4mAhXr9x8yiRbmlTxQGh","bdep_49f528bcdd3142762e54ef45","14.89","USD","2021-03-11","2021-03-12","false",""
"po_1Iesf6AhXr9x8yiRaPFuFvr7","bdep_1989222fddef264a176b122b","23.67","USD","2021-04-11","2021-04-12","false",""
"po_1IpkX0AhXr9x8yiRHzwWxanz","bdep_24ba5f8d2fa95f3205f045b0","23.67","USD","2021-05-11","2021-05-12","false",""
"po_1J0H91AhXr9x8yiRozfRhOGr","bdep_ec876b48bda9816978576342","23.67","USD","2021-06-09","2021-06-10","false",""
"po_1JBs2yAhXr9x8yiRKpwbUEaJ","bdep_dcc7280c5e7558fa7c12bd1d","23.67","USD","2021-07-11","2021-07-12","false",""
"po_1JMk74AhXr9x8yiRRwjjoAow","bdep_91f1d7a03d0991a17de00bcf","23.67","USD","2021-08-10","2021-08-11","false",""
"po_1JOv1RAhXr9x8yiRaEvJqqmT","bdep_13f9d4ac3dc42b8f8693d550","4963.76","USD","2021-08-16","2021-08-17","false",""
"po_1JXdU4AhXr9x8yiRBITBSZy8","bdep_c13ea9c27afceccf984462b9","23.67","USD","2021-09-09","2021-09-10","false",""
"po_1Jh2wGAhXr9x8yiRtdzIgviZ","bdep_57f3a9394e964cd551b7e7b1","24.56","USD","2021-10-05","2021-10-06","false",""
"po_1JjaCTAhXr9x8yiRquIh9G2w","bdep_a0040b2b2a9bcf9067d659f2","23.67","USD","2021-10-12","2021-10-13","false",""
"po_1JtkrIAhXr9x8yiR3Uv6JGK1","bdep_817db2d5e92a967d2fde74ee","23.67","USD","2021-11-09","2021-11-10","false",""
"po_1K4dVrAhXr9x8yiR6PWWDQJq","bdep_056a8b380c0d5545ce60fdbf","5291.08","USD","2021-12-09","2021-12-10","false",""
"po_1K5hzCAhXr9x8yiRCsRkbmMq","bdep_75cb64ca917ea625bf5bb630","194.87","USD","2021-12-12","2021-12-13","false",""
"po_1K6oBzAhXr9x8yiRXlVh4RfA","bdep_39d907f60b5e7556dc6dffcb","5203.21","USD","2021-12-15","2021-12-16","false",""
"po_1K7AjnAhXr9x8yiRYymoKL3e","bdep_76c3e36b669c34fd209dece2","239.45","USD","2021-12-16","2021-12-17","false",""
"po_1K8FIlAhXr9x8yiRyCqaceRw","bdep_160e8ec2ed4c594b26ff2e8a","47.65","USD","2021-12-19","2021-12-20","false",""
"po_1K8bZGAhXr9x8yiRiNk1fNVz","bdep_9e36b859eda40b42a4a0e1c7","47.65","USD","2021-12-20","2021-12-21","false",""
"po_1KDfq8AhXr9x8yiRB4VD0UHv","bdep_0897b8f1a1c30c9b9af2eb70","248.19","USD","2022-01-03","2022-01-04","false",""
"po_1KOE7JAhXr9x8yiRmTVjX06E","bdep_5bc481d9560d942bffd59cfc","248.19","USD","2022-02-01","2022-02-02","false",""
"po_1L4yOBAhXr9x8yiRTj2ETOgI","bdep_d3108722bc82ad57c22edf2d","2076.66","USD","2022-05-30","2022-05-31","false",""
"po_1L8dpCAhXr9x8yiR8g4oW9iT","bdep_a13a6647ae5e4e9e4cdbfad5","4.49","USD","2022-06-09","2022-06-10","false",""
"po_1LDJxKAhXr9x8yiRM4hbuhEz","bdep_8296d2026bd8f7fbf48134e0","247.05","USD","2022-06-22","2022-06-23","false",""
"po_1LFT3IAhXr9x8yiR6SFcZozl","bdep_b996089fce44175f5837f81e","983","USD","2022-06-28","2022-06-29","false",""
"po_1LFUoNAhXr9x8yiR967bca3X","bdep_67e0ea68985b878cce24444c","39.71","USD","2022-06-28","2022-06-29","false",""
"po_1LNrqqAhXr9x8yiRHddBDFTz","bdep_8e1716ab115ee93b87641ab4","49.64","USD","2022-07-21","2022-07-22","false",""
"po_1LPdo3AhXr9x8yiRwQyyyDkn","bdep_d5f8f132c53150ea14add392","694.93","USD","2022-07-26","2022-07-27","false",""
"po_1LSZzkAhXr9x8yiR1vHXWQOK","bdep_608c90c70a3b3bffa57a8e83","24.82","USD","2022-08-03","2022-08-04","false",""
"po_1LZ4uOAhXr9x8yiRajo0MZYg","bdep_ad37549e630f6b857434ea2c","4.96","USD","2022-08-21","2022-08-22","false",""
"po_1LZn4TAhXr9x8yiR6RRhNpMe","bdep_8df6536955806037835c0d5a","49.64","USD","2022-08-23","2022-08-24","false",""
"po_1LesMuAhXr9x8yiR4egbD0j3","bdep_25664b88c1d834f9f4bad980","2.57","USD","2022-09-06","2022-09-07","false",""
"po_1LkLf3AhXr9x8yiRm9EXUppr","bdep_ee092f6cb7bfebf60226e03f","49.64","USD","2022-09-21","2022-09-22","false",""
"po_1LkiH4AhXr9x8yiRBozvmGUR","bdep_3d95c42a2344757909d42d88","4.96","USD","2022-09-22","2022-09-23","false",""
"po_1LlmFjAhXr9x8yiREGptCN6S","bdep_9d1fd782589933da3b36a94f","1449.22","USD","2022-09-25","2022-09-26","false",""
"po_1Lm755AhXr9x8yiRKv8vKveQ","bdep_6dbf80d993aa5b6ddf9a063a","219.69","USD","2022-09-26","2022-09-27","false",""
"po_1LmUJGAhXr9x8yiRwGN5KtI5","bdep_1435c3bacb7d0dc3f3aa9f0f","1422.52","USD","2022-09-27","2022-09-28","false",""
"po_1LnDriAhXr9x8yiRD6usLTKl","bdep_228b819516621dca715d3fed","378.32","USD","2022-09-29","2022-09-30","false",""
"po_1LoJr2AhXr9x8yiRRCkRPAHK","bdep_1c7a2113b68f1e1205ee16a9","248.19","USD","2022-10-02","2022-10-03","false",""
"po_1Log1CAhXr9x8yiRUeV2RLWL","bdep_6587f7eb165949741a1640e9","99.27","USD","2022-10-03","2022-10-04","false",""
"po_1Lp22GAhXr9x8yiRJIYCe2nR","bdep_5e8859f81f1d6113a3073b77","198.54","USD","2022-10-04","2022-10-05","false",""
"po_1LvvkrAhXr9x8yiR9rrH6bSl","bdep_a1898e020374391240d2727d","49.48","USD","2022-10-23","2022-10-24","false",""
"po_1M6nrjAhXr9x8yiR1HWXnuYJ","bdep_d54950364585d7dfb1540ace","53.95","USD","2022-11-22","2022-11-23","false",""
"po_1M9jfsAhXr9x8yiRNyMVvYu4","bdep_642d26820a9e81cc0ab77c94","8.94","USD","2022-11-30","2022-12-01","false",""
"po_1MA3zVAhXr9x8yiRrwCXuwWZ","bdep_791eb1fa96e83f76497afbff","74.46","USD","2022-12-01","2022-12-02","false",""
"po_1MBTJZAhXr9x8yiRrMcKwF5S","bdep_10b2a5e15f47e8cabb78783f","500","USD","2022-12-05","2022-12-06","false",""
"po_1MBv3qAhXr9x8yiR7s00xKnU","bdep_e9386079bfe9e5a954a59ff4","5075.38","USD","2022-12-06","2022-12-07","false",""
"po_1MCEFlAhXr9x8yiRqKocqk99","bdep_fb257c6f495c06b38f700413","496.36","USD","2022-12-07","2022-12-08","false",""
"po_1MEPAwAhXr9x8yiRMzRy5gCx","bdep_9d5e05ff64b503728479ce07","198.55","USD","2022-12-13","2022-12-14","false",""
"po_1MHLQPAhXr9x8yiR0MNVQBnb","bdep_21a0ea3125d1404c2f3e65a1","49.48","USD","2022-12-21","2022-12-22","false",""
"po_1MJrAoAhXr9x8yiRedhs0Bxg","bdep_c0000b74ed8a027729a6bde8","238.7","USD","2022-12-28","2022-12-29","false",""
"po_1MTH9wAhXr9x8yiRnUhwSNKN","bdep_e61d883382eed1bcd3d820d1","49.48","USD","2023-01-23","2023-01-24","false",""
"po_1Me9eaAhXr9x8yiRzsVaTQJA","bdep_743888d7025754a917b4987a","49.48","USD","2023-02-22","2023-02-23","false",""
"po_1Miq32AhXr9x8yiRsvPiWdhS","bdep_1dae5ac2a4f9478aeceb2894","694.91","USD","2023-03-07","2023-03-08","false",""
"po_1MnDxqAhXr9x8yiRQH58QrzJ","bdep_6f39739226c7df80dfc040bc","4.96","USD","2023-03-19","2023-03-20","false",""
"po_1MnyUcAhXr9x8yiRNrJsGp7I","bdep_f6d7474c729816d10ad4e856","49.48","USD","2023-03-21","2023-03-22","false",""
"po_1NA3VXAhXr9x8yiR9eanl7wI","bdep_88ccc2ba26df2ca18aa7d3bd","5441.35","USD","2023-05-21","2023-05-22","false",""
"po_1NDfleAhXr9x8yiRMVzV6gis","bdep_b2c7c0676553b52e3c49a93e","248.18","USD","2023-05-31","2023-06-01","false",""
"po_1O5IE6AhXr9x8yiR07VEkksC","bdep_db7fa98cee1414a89e7f64dc","584.7","USD","2023-10-26","2023-10-27","false",""
"po_1OUKPQAhXr9x8yiRdSE9W0sL","bdep_526a4c6a5ce146916deb47cf","238.07","USD","2024-01-03","2024-01-04","false",""
"po_1PztOwAhXr9x8yiRarNk4q5S","bdep_09bb31a360f636d5ca47e957","992.71","USD","2024-09-17","2024-09-18","false",""
"po_1QFulkAhXr9x8yiRnGqGxTok","bdep_7b8119b30f2f5f51975f9b28","4.46","USD","2024-10-31","2024-11-01","false",""
"po_1QHzUYAhXr9x8yiRzGPeI1oN","bdep_1d9a436b23f813e2ed458aa6","9.92","USD","2024-11-06","2024-11-07","false",""
"po_1QIPzmAhXr9x8yiRsGQAAsEl","bdep_3e0858074bb5cfed40959ae8","992.71","USD","2024-11-07","2024-11-08","false",""
"po_1QKxMJAhXr9x8yiRjWatUCXc","bdep_3cdf520ff6b65f72f39e547c","290.41","USD","2024-11-14","2024-11-15","false",""
"po_1QM18VAhXr9x8yiRA7PFpc7m","bdep_a06d0a90700b06d8023a9220","190.4","USD","2024-11-17","2024-11-18","false",""
"po_1QMM3UAhXr9x8yiREq2zgQEh","bdep_d287c7c988f8002d4faa2ce0","238.07","USD","2024-11-18","2024-11-19","false",""
"po_1QNUCdAhXr9x8yiR2vopqWcR","bdep_bef8dee88c901c3792cee623","4767.2","USD","2024-11-21","2024-11-22","false",""
"po_1QOUp8AhXr9x8yiR7y3DBEdl","bdep_0ac75a943e6564ae3df831c9","24.82","USD","2024-11-24","2024-11-25","false",""
"po_1QSB6jAhXr9x8yiRAuux0yaB","bdep_2b6cb927274e578715f2e1ea","1004.56","USD","2024-12-04","2024-12-05","false",""
"po_1QSUopAhXr9x8yiRKLBraMLZ","bdep_26470942cf8fa4d496b14a85","1102.1","USD","2024-12-05","2024-12-06","false",""
"po_1QTazUAhXr9x8yiRkMj989qE","bdep_13a6360b69979ada0a234475","95.05","USD","2024-12-08","2024-12-09","false",""
"po_1QTwJZAhXr9x8yiRvP2PdBwP","bdep_d61721dea6fc7c9226a84b69","47.37","USD","2024-12-09","2024-12-10","false",""
"po_1QWTgMAhXr9x8yiRkVK3U6gv","bdep_35d57872e891f040541deefe","23.53","USD","2024-12-16","2024-12-17","false",""
"po_1QYdoWAhXr9x8yiR49v6MfaN","bdep_eaf45e40eac1cfcfab9d7e63","120.84","USD","2024-12-22","2024-12-23","false",""
"po_1QZ0GLAhXr9x8yiREFdipEzG","bdep_3a68ea4d9e7e7371071a127c","496","USD","2024-12-23","2024-12-24","false",""
"po_1QZj0vAhXr9x8yiReABDeog3","bdep_22dd49cabef05651dfd70b49","953.2","USD","2024-12-25","2024-12-26","false",""
"po_1Qa5asAhXr9x8yiRugjbC5EU","bdep_1f48f30490aee3778ebfe919","148.9","USD","2024-12-26","2024-12-27","false",""
"po_1QbB1YAhXr9x8yiRvekYilfK","bdep_ac0072a6da757dd3856c33cc","148.9","USD","2024-12-29","2024-12-30","false",""
"po_1QcGVTAhXr9x8yiRPL7BRs9l","bdep_51beefa297d24e0811b7ec4e","625.35","USD","2025-01-01","2025-01-02","false",""
"po_1QdiTXAhXr9x8yiRj5qErF77","bdep_537bfa941b885745b5b93be1","289.36","USD","2025-01-05","2025-01-06","false",""
"po_1Qe4tUAhXr9x8yiRV6r5EZ5i","bdep_0024f734bc285a8b0a7edbf8","194.9","USD","2025-01-06","2025-01-07","false",""
"po_1QlKdvAhXr9x8yiR4xVXrQpp","bdep_e6964e5fd6d27e3b65ff85e9","49.63","USD","2025-01-26","2025-01-27","false",""
"po_1QqPQtAhXr9x8yiRrBYkZc4a","bdep_0b8c4f8d4b4ba73e72d7b15e","714.83","USD","2025-02-09","2025-02-10","false",""
"po_1QwvU8AhXr9x8yiRug2lBPhu","bdep_4ac4f91a212c3a7da859015a","190.4","USD","2025-02-27","2025-02-28","false",""
"po_1RGrr3AhXr9x8yiRlYOFugKA","bdep_d79213c061b917877676fc66","1901.7","USD","2025-04-23","2025-04-24","false",""
"po_1RlgPeAhXr9x8yiRBUnQaiF7","bdep_ca40df926c98167bf3cb10c5","189.9","USD","2025-07-17","2025-07-18","false",""
"po_1RwBBHAhXr9x8yiRiMG4EdAJ","bdep_d1cfe853446a701468c73d3e","2062.55","USD","2025-08-14","2025-08-15","false",""
"po_1S8VftAhXr9x8yiRIFYpzI3Y","bdep_12841c68448fcb492c65ec6f","94.8","USD","2025-09-17","2025-09-18","false",""
"po_1SRjLWAhXr9x8yiRs09QsInE","bdep_8a06ced0a5c9b40cb18af38f","4.97","USD","2025-11-09","2025-11-10","false",""
"po_1STAmxAhXr9x8yiR0e0NhkeT","bdep_93ea5773b91967d579ea829d","47.25","USD","2025-11-13","2025-11-14","false",""
"po_1SUGMQAhXr9x8yiRr3NYpOZe","bdep_7d084ed342a8819e55bd3455","17.8","USD","2025-11-16","2025-11-17","false",""
"po_1SUyqzAhXr9x8yiRwVrdNUC0","bdep_a2f5d9821436187b5bd3043d","47.25","USD","2025-11-18","2025-11-19","false",""
"po_1SaQZDAhXr9x8yiRbWXl8rVB","bdep_5a40b2dff80db46d65fab6f1","593.23","USD","2025-12-03","2025-12-04","false",""
"po_1SamyjAhXr9x8yiRB5AsCvp6","bdep_aa6808efb936b6304f6e1c07","227.79","USD","2025-12-04","2025-12-05","false",""
"po_1SbrxVAhXr9x8yiRheal6RHT","bdep_2f810c8f91f874d1ee26f5f3","146.55","USD","2025-12-07","2025-12-08","false",""
"po_1SfrgdAhXr9x8yiRZXDWDdmu","bdep_eb594ece9b01b20a3acdf2e0","1447.06","USD","2025-12-18","2025-12-19","false",""
"po_1SgxOpAhXr9x8yiRjJbckD9R","bdep_b2ba67b9f5f50175b2ea077f","1000.01","USD","2025-12-21","2025-12-22","false",""
"po_1ShJiTAhXr9x8yiRi0wctIiu","bdep_db112d6f2819a5171d48b537","94.8","USD","2025-12-22","2025-12-23","false",""
"po_1ShffmAhXr9x8yiRcAPHactL","bdep_e2d6abe3e0c84ce6e30d7f2b","1489.06","USD","2025-12-23","2025-12-24","false",""
"po_1SkDDhAhXr9x8yiRJ0iELqmB","bdep_b27454f8a965e0372b6e5dc4","94.8","USD","2025-12-30","2025-12-31","false",""
"po_1SkwWyAhXr9x8yiRv6KJ7fFW","bdep_898d36f128cee33bc9038a34","496.36","USD","2026-01-01","2026-01-02","false",""
"po_1SmNpiAhXr9x8yiRRnFKOz4s","bdep_80df09f53b5d483fe1b1004b","99.27","USD","2026-01-05","2026-01-06","false",""
"po_1SuMyEAhXr9x8yiRfM9XHzeg","bdep_6e002b67d817954d51321443","142.35","USD","2026-01-27","2026-01-28","false",""
"po_1Sv5BiAhXr9x8yiRAUitilST","bdep_df36daf1b6ce344108445e18","248.17","USD","2026-01-29","2026-01-30","false",""
"po_1T0ATjAhXr9x8yiR4dGePxUN","bdep_6d85ecc6f34d660b736fd75f","1922.64","USD","2026-02-12","2026-02-13","false",""
"po_1T1cD1AhXr9x8yiRQT1LN97U","bdep_8fa6ad6193cee9f570dd0e45","500","USD","2026-02-16","2026-02-17","false",""
"po_1T1cDOAhXr9x8yiRVWlrF59U","bdep_cc536a5e259f9ea74d48a5c1","5154","USD","2026-02-16","2026-02-17","false",""
"po_1T1yETAhXr9x8yiRUS1f2Ibp","bdep_db7169082997d714050d90e9","950.7","USD","2026-02-17","2026-02-18","false",""
"po_1T2KhqAhXr9x8yiRABqw1ZG3","bdep_8eb2194a4b5082c45a5a695e","893.41","USD","2026-02-18","2026-02-19","false",""
"po_1T4VmHAhXr9x8yiRWzJO2XdX","bdep_e49dda140679e33bcf5ecfb1","47.25","USD","2026-02-24","2026-02-25","false",""
"po_1T4sGbAhXr9x8yiRgb3TJ0kR","bdep_8290ca8c2878685ba48244a0","49.64","USD","2026-02-25","2026-02-26","false",""
"po_1T6K1GAhXr9x8yiRqOXCwl1o","bdep_11b464ae094b6c967431062a","47.25","USD","2026-03-01","2026-03-02","false",""
"po_1T7mMgAhXr9x8yiRgiJWDEab","bdep_3118a06d2e8381c3371b348f","47.25","USD","2026-03-05","2026-03-06","false",""
"po_1T9afVAhXr9x8yiRskDL4F35","bdep_ad015efd7ebf40b0b342c57b","191.99","USD","2026-03-10","2026-03-11","false",""
"po_1TEflnAhXr9x8yiR08ccyQws","bdep_c9686a81b7d08e4d34265495","47.25","USD","2026-03-24","2026-03-25","false",""
"po_1TFOjBAhXr9x8yiRFZ5YymFZ","bdep_d14000c2ab287f79a5956988","950.7","USD","2026-03-26","2026-03-27","false",""
"po_1TKTNIAhXr9x8yiR9eLcEI2O","bdep_fbb441999dc7b7f9ad7048a5","142.35","USD","2026-04-09","2026-04-10","false",""
"po_1TW3l0AhXr9x8yiR28ftuJnu","bdep_6d335181f0331772dab0db36","142.35","USD","2026-05-11","2026-05-12","false",""
"po_1TgaJDAhXr9x8yiRZLUuG9BH","bdep_87050ed62510b92031d114ee","142.35","USD","2026-06-09","2026-06-10","false",""
"po_1TlevJAhXr9x8yiRyELH81qW","bdep_b7c2e1f074283e80c191818f","99.27","USD","2026-06-23","2026-06-24","false",""
"po_1TrSVJAhXr9x8yiRU84eePbK","bdep_5cf776407242cafb0661bb82","142.35","USD","2026-07-09","2026-07-10","false",""
