cluster_date,payee,rows,cluster_sum,status,matched_bank_deposit_id,matched_deposit_date,matched_deposit_memo,register_rows
2019-08-30,spring point partners,2,1000000.00,matches_open_deposit,bdep_515bfe96cf51065d19243482,2019-08-30,eDeposit in Branch/Store 08/30/19 05:03:21 PM 1505 W LAKE ST MINNEAPOLIS MN 8945,"[{""id"": ""bnk_20fa10f5b961f15fa0e85f44"", ""amount"": 500000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_3707e23c008fd2ffb4daeabb"", ""amount"": 500000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-09-23,walton family foundation,4,850000.00,matches_open_deposit,bdep_629177864a87e8c4ec84610a,2019-09-23,WALTON FAM FDN   GRANTS            66802           GRANT 2019-379,"[{""id"": ""bnk_09513e8b4f8a5d76c5397c07"", ""amount"": 600000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_5efdeb61c02448ec392c5637"", ""amount"": 50000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_894edab6a0d503a26d604378"", ""amount"": 150000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_a9ef069a94e34a2a9e39e557"", ""amount"": 50000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-12-05,stripe,2,553.17,no_deposit_match,,,,"[{""id"": ""bnk_56e62b2f49a5a37fc9798368"", ""amount"": 96.8, ""ref"": """", ""memo"": ""Jessica Heard Donation- I would like to designate my donation to support Wildflo"", ""tied"": ""false""}, {""id"": ""bnk_6ece44a9494bd2f22e36cf59"", ""amount"": 456.37, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-12-17,spring point partners,2,100000.00,no_deposit_match,,,,"[{""id"": ""bnk_a3b7b81feee154af81d067af"", ""amount"": 40000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_f7bbc3e581bbd3e7fb4fda59"", ""amount"": 60000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2019-12-27,sep kamvar,2,195000.00,matches_already_explained_deposit,bdep_01a4d1e7827b08e4a1dde368,2019-12-27,WT FED#07891 VANGUARD MARKETING    /ORG=SEPANDAR KAMVAR                         ,"[{""id"": ""bnk_04836ee55079d387637b7e19"", ""amount"": 95000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_882cc04c893bffc46cb2e66d"", ""amount"": 100000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-04-13,arthur rock foundation,2,500000.00,matches_already_explained_deposit,bdep_c6ed395c75ad99cd7fa1c2fd,2020-04-13,WT FED#04834 OUTGOING MASTER TR    /ORG=ARTHUR ROCK 2000 TR - HLDGS             ,"[{""id"": ""bnk_19ed68cf97dae1e478e05c68"", ""amount"": 350000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_d6d12649b144f650cb76a242"", ""amount"": 150000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-04-22,stripe,2,509.17,no_deposit_match,,,,"[{""id"": ""bnk_0d91a413b015b1ceab42e2c0"", ""amount"": 485.2, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_48afdd2fbe140561c559c1df"", ""amount"": 23.97, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-06-18,stripe,2,761.33,no_deposit_match,,,,"[{""id"": ""bnk_485086d1ec6d6020a61acfd8"", ""amount"": 485.2, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_e5453c264d45c55b0f6ec778"", ""amount"": 276.13, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-07-30,walton family foundation,3,800000.00,matches_open_deposit,bdep_ae3d3ac841a9260b4191b90f,2020-07-30,WALTON FAM FDN   GRANTS            70317           SMSGRANT 00000134,"[{""id"": ""bnk_2c0121a4d734ebd3d42a1e70"", ""amount"": 100000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_7943381a93f997c63439360b"", ""amount"": 50000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_af3890ec4dd099976a8afa19"", ""amount"": 650000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-08-03,stripe,2,615.51,no_deposit_match,,,,"[{""id"": ""bnk_09e867cd3e361db28ebfbffa"", ""amount"": 496.38, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_0e44ca838ad39c774c8fe725"", ""amount"": 119.13, ""ref"": """", ""memo"": ""Barbara Fess Online donation to benefit area of greatest need"", ""tied"": ""false""}]"
2020-09-04,wend ventures,3,1000000.00,matches_open_deposit,bdep_0ef2fd85298f889a72a94ce3,2020-09-04,WEND LLC         GRANT             0348            GRANT 2020-162,"[{""id"": ""bnk_224422b1777b9acf9d1e3234"", ""amount"": 650000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_3771050f69937a26b696614e"", ""amount"": 250000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_ff5100130fe222819165709f"", ""amount"": 100000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-09-18,new schools venture fund,2,22500.00,matches_open_deposit,bdep_1107962101cf6117d426e360,2020-09-18,NEW SCHOOLS 1310 PAYMENTS          VEN000829       WILDFLOWER FOUNDATION,"[{""id"": ""bnk_3c3e1115e1beb5c48c0be59b"", ""amount"": 7500.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_a9d9c11d2e031b70427c83fc"", ""amount"": 15000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-02,stripe,2,173.52,no_deposit_match,,,,"[{""id"": ""bnk_43f1345c6f154a4d9b0ed0ec"", ""amount"": 120.42, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_9f7e8074635097dd3a4b1609"", ""amount"": 53.1, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-03,stripe,2,3298.60,no_deposit_match,,,,"[{""id"": ""bnk_5ec4bb7fa8cdd7eec6f3dc00"", ""amount"": 3199.32, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_ad3e7e08bae040d1d028ae06"", ""amount"": 99.28, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-09,stripe,2,373.19,no_deposit_match,,,,"[{""id"": ""bnk_539fb4ee89118173673a52b8"", ""amount"": 248.19, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_5dc30e38b19003e2cab8e018"", ""amount"": 125.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-10,stripe,2,305.54,no_deposit_match,,,,"[{""id"": ""bnk_54102fd120a77ed3d6e56e8e"", ""amount"": 271.86, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_ff51848e7fe084ec58a8039a"", ""amount"": 33.68, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-23,stripe,2,591.98,no_deposit_match,,,,"[{""id"": ""bnk_6a7b59e025085595c9160da5"", ""amount"": 496.38, ""ref"": """", ""memo"": ""Nneka Rimmer to allocate to DC"", ""tied"": ""false""}, {""id"": ""bnk_e5b3878a1c66d6e2792daf39"", ""amount"": 95.6, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2020-12-31,stripe,2,290.77,no_deposit_match,,,,"[{""id"": ""bnk_65f82caf798001c87e771806"", ""amount"": 99.27, ""ref"": """", ""memo"": ""Constance G donation pass thru to MN"", ""tied"": ""false""}, {""id"": ""bnk_d4bddccc33e93adc03f6ee9a"", ""amount"": 191.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-01-05,stripe,2,958.40,no_deposit_match,,,,"[{""id"": ""bnk_3f828d4af67c54ec93283474"", ""amount"": 479.2, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_dbfbffc5320747c34d306493"", ""amount"": 479.2, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-01-08,saint paul foundation,2,10000.00,no_deposit_match,,,,"[{""id"": ""bnk_c5a700d07dd5de2067517f99"", ""amount"": 5000.0, ""ref"": """", ""memo"": ""Check: X210 $5,000.00 - STP, pass through grant to Lirio (MN Hub)"", ""tied"": ""false""}, {""id"": ""bnk_ff20691e1b2033baa764c0a3"", ""amount"": 5000.0, ""ref"": """", ""memo"": ""Check: X726 $5,000.00 -   STP, \""MN Hub general operating\"""", ""tied"": ""false""}]"
2021-01-12,stripe,2,514.87,no_deposit_match,,,,"[{""id"": ""bnk_133dd2615a1e41dd25a9d4f5"", ""amount"": 23.67, ""ref"": """", ""memo"": ""Donation Leah W"", ""tied"": ""false""}, {""id"": ""bnk_983dcb5715801eb9472ebcda"", ""amount"": 491.2, ""ref"": """", ""memo"": ""Donation- Teresa Smith"", ""tied"": ""false""}]"
2021-02-01,wend ventures,3,1000000.00,matches_open_deposit,bdep_e8c90aa6fe8adbdcd31c1fbb,2021-02-01,WEND LLC         ACH PMTS          0472            GRANT 2020-162,"[{""id"": ""bnk_6eed0374f332a54c39a3f0ec"", ""amount"": 100000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_86c7a6cbb9f356c7a39ba67d"", ""amount"": 250000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_ccdd49f56d2b2e9999358a6f"", ""amount"": 650000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-02-09,loan - snowdrop,2,4000.00,matches_open_deposit,bdep_d1ed34343cb6f830e84448c3,2021-02-09,MELIO PAYMENTS   Snowdrop M 210209 t6404901        Snowdrop Montessori SchoolSno,"[{""id"": ""bnk_c0b92a0f09cef711e9c39d5f"", ""amount"": 2000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_c1d5146c937450fe48f2843b"", ""amount"": 2000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-02-24,stripe,2,1523.97,no_deposit_match,,,,"[{""id"": ""bnk_1269f2e0e28dfeaabc49d0e7"", ""amount"": 23.97, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_1c0e658a69f471fb48739b38"", ""amount"": 1500.0, ""ref"": """", ""memo"": ""Anirban Basu - Infant + Toddler"", ""tied"": ""false""}]"
2021-03-10,stripe,2,454.45,no_deposit_match,,,,"[{""id"": ""bnk_48043e2ce8bacf0771a65047"", ""amount"": 23.67, ""ref"": """", ""memo"": ""Recurring donation to Wildflower Schools - DC from leah.williams0219@gmail.com"", ""tied"": ""false""}, {""id"": ""bnk_7e0101e5f9c1ba3ef1a931d9"", ""amount"": 430.78, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-03-12,stripe,2,1470.49,no_deposit_match,,,,"[{""id"": ""bnk_37a312d8887e0a2e0abeee42"", ""amount"": 1455.6, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_a1b790269b36e8cc34a8de60"", ""amount"": 14.89, ""ref"": """", ""memo"": ""donation to Wildflower Schools - DC from nadirah.moreland@gmail.com"", ""tied"": ""false""}]"
2021-08-10,wend ventures,3,750000.00,matches_open_deposit,bdep_9c26c61342d379f21fae7bee,2021-08-10,WEND LLC         GRANT PMT         0634            GRANT  2020-162,"[{""id"": ""bnk_abcfaae0d3678606f5b37196"", ""amount"": 475000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_e00c35bce74018fecf693fb8"", ""amount"": 200000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_f104b47eed2eadc1e9f15489"", ""amount"": 75000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-09-16,gusto,2,516.94,no_deposit_match,,,,"[{""id"": ""bnk_346933b2d1990a9b1231d586"", ""amount"": 2.06, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_9bab483d98128814df790b4c"", ""amount"": 514.88, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-12-01,morgan stanley,3,675.00,no_deposit_match,,,,"[{""id"": ""bnk_1c581db3dd80665a3221861a"", ""amount"": 250.0, ""ref"": """", ""memo"": """", ""tied"": ""true""}, {""id"": ""bnk_f06cdcd4f067da9fc87f9933"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_fa4f1ef796cc267e3c9ee4e0"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-12-07,dc wildflower public charter school,2,103726.19,matches_open_deposit,bdep_961de53b64a098ab928c947a,2021-12-07,DC WILDFLOWER PU EFT PYMT   120621 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_030c852867aa3f4d7e65cfb3"", ""amount"": 52166.8, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_bcc95b5928c38f85d36fec48"", ""amount"": 51559.39, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-12-13,saint paul and minnesota foundation,2,10000.00,no_deposit_match,,,,"[{""id"": ""bnk_7a904e7e304f879f81180225"", ""amount"": 5000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_e02f9710321aae2cc3c378f9"", ""amount"": 5000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2021-12-31,morgan stanley,3,675.00,no_deposit_match,,,,"[{""id"": ""bnk_039f2c24bfd174209d12e794"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_28e2ce52e644e778ccb6de12"", ""amount"": 250.0, ""ref"": """", ""memo"": """", ""tied"": ""true""}, {""id"": ""bnk_6d0d9dee7f0a27415f904864"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-01-05,protouch painting,2,2500.00,no_deposit_match,,,,"[{""id"": ""bnk_bb9e861bcff9a079bc138eb8"", ""amount"": 1000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_cf91b76f3739dd8329d1453f"", ""amount"": 1500.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-01-31,morgan stanley,3,675.00,no_deposit_match,,,,"[{""id"": ""bnk_755f8daa9c3abb59aa32132d"", ""amount"": 212.5, ""ref"": """", ""memo"": ""Dahlia Montessori Repayment"", ""tied"": ""false""}, {""id"": ""bnk_7f39de7386dbae146508f385"", ""amount"": 250.0, ""ref"": """", ""memo"": ""Dahlia Montessori Repayment"", ""tied"": ""false""}, {""id"": ""bnk_d221f41264c6e573f7283e7f"", ""amount"": 212.5, ""ref"": """", ""memo"": ""Dahlia Montessori Repayment"", ""tied"": ""false""}]"
2022-01-31,wend ventures,3,750000.00,matches_open_deposit,bdep_3f5f0b520467fee0d796eeb3,2022-01-31,WEND LLC         GRANT PMT         0731            GRANT 2020-162_4,"[{""id"": ""bnk_10bd935ff67a48acb8c79d8d"", ""amount"": 200000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_5d291d2ae210724b2c25d1cd"", ""amount"": 475000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_dd08d40445b809266ec3ff09"", ""amount"": 75000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-03-01,dahlia montessori,3,675.00,no_deposit_match,,,,"[{""id"": ""bnk_2e60080bdc4fb8e6dd950d5b"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_86185262bf6f4d9cd4136f9d"", ""amount"": 212.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_89c8cc0bf1b5041acbb62b06"", ""amount"": 250.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-05-10,dc wildflower public charter school,3,102567.01,matches_open_deposit,bdep_0d1c118a0a402849a0ed1af7,2022-05-10,DC WILDFLOWER PU EFT PYMT   050922 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_654d20a47df002682f6de38f"", ""amount"": 70532.6, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_a995ac9c92e872607988109c"", ""amount"": 20699.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_b00fd43dc2c3bb864bb3926e"", ""amount"": 11335.41, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-06-03,arthur rock foundation,2,1000000.00,matches_already_explained_deposit,bdep_86378ec4e20876dba3433e3a,2022-06-03,VANGRDCHARITABLE GRANTPYMNT        41790448        WILDFLOWER FOUNDATION,"[{""id"": ""bnk_21be55b2a17576ea95bf352b"", ""amount"": 750000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_62c9e787855abe853edf0064"", ""amount"": 250000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-06-03,citybridge foundation,2,75000.00,matches_open_deposit,bdep_3865e8393adf7988d43deedc,2022-06-03,WT FED#06148 JPMORGAN CHASE BAN    /ORG=CITYBRIDGE FOUNDATION                   ,"[{""id"": ""bnk_497f35c09968cd0d0855af1f"", ""amount"": 25000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_c88471607dc03854a6af2b5b"", ""amount"": 50000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-06-14,adam gerhardsteain & meredith hicks,2,400.00,no_deposit_match,,,,"[{""id"": ""bnk_55f3f08de2945a89354ce3d5"", ""amount"": 150.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_860cd426e36008b03151a206"", ""amount"": 250.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-07-01,dc wildflower public charter school,2,12245.30,matches_open_deposit,bdep_3202c0832ca13a3034028bfd,2022-07-01,DC WILDFLOWER PU EFT PYMT   063022 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_79988c541ef06fe527642154"", ""amount"": 3123.66, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_9cd76ac1327694237b0d9bc6"", ""amount"": 9121.64, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-08-08,dc wildflower public charter school,3,20159.88,matches_open_deposit,bdep_eb87ba0e22965a0e117cad18,2022-08-08,DC WILDFLOWER PU EFT PYMT   080522 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_3fc461f55f4601163f344bf6"", ""amount"": 909.89, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_95d70e6c2fa312d671a972db"", ""amount"": 12245.3, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_b77dc4a8a76dd296781caf38"", ""amount"": 7004.69, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-09-20,dc wildflower public charter school,2,20351.00,matches_open_deposit,bdep_73c4871bdeee70d13f3d5949,2022-09-20,DC WILDFLOWER PU EFT PYMT   091922 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_3f6270a2faa6da6d887d81e5"", ""amount"": 10400.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_ad0a6a2bfb0d493aeaa345ea"", ""amount"": 9950.5, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2022-09-28,misc customer,2,1397.70,no_deposit_match,,,,"[{""id"": ""bnk_86fa64342d400705c1bcf0b3"", ""amount"": 1378.82, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_b76e49b187aa5956c16a4f2e"", ""amount"": 18.88, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2023-01-06,patrick & alice rogers,2,10000.00,no_deposit_match,,,,"[{""id"": ""bnk_df86988bf22ad7a44387f2cf"", ""amount"": 5000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_e04452ea208b755b89042fe3"", ""amount"": 5000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2023-05-05,dc wildflower pcs - service revenue,2,250000.00,matches_already_explained_deposit,bdep_dd07f4b237f184dbe41d9493,2023-05-05,CHARTER FUND INC RL 5.5 CFI        V000513         WF-SCHARGE-NATL-SC-OC-2023-2Q,"[{""id"": ""bnk_24ae435bbefd750304ee0c82"", ""amount"": 150000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_c1ce0cf25843dfc12885330d"", ""amount"": 100000.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2023-07-07,snowdrop montessori school inc,2,11320.00,no_deposit_match,,,,"[{""id"": ""bnk_3a019a141346af8be58d383e"", ""amount"": 6868.56, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_f7a72fb2d4601aa90c5b0a04"", ""amount"": 4451.44, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
2023-07-10,dc wildflower public charter school,2,4125.00,matches_open_deposit,bdep_170a34771e495a39044dcc6b,2023-07-10,DC WILDFLOWER PU EFT PYMT   070723 Charter School  The Wildflower Foundat,"[{""id"": ""bnk_5cf5271b217d36d41dc16a72"", ""amount"": 2875.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}, {""id"": ""bnk_f8d43b193dc0b301c0848850"", ""amount"": 1250.0, ""ref"": """", ""memo"": """", ""tied"": ""false""}]"
